repo,commit,tool,rule_id,severity,file,line,masked_value,fingerprint,verdict,reason
axios,b8d67bbbd6b3,gitleaks,private-key,,tests/unit/adapters/key.pem,1,REDACTED,tests/unit/adapters/key.pem:private-key:1,TP,private key material (test fixture)
axios,b8d67bbbd6b3,secretloop,generic-high-entropy,medium,docs/data/sponsors.json,1510,buy-********************c394,docs/data/sponsors.json:generic-high-entropy:ed17d0b9e49d66de,FP,documentation example
axios,b8d67bbbd6b3,secretloop,http-basic-auth-url,critical,docs/es/pages/advanced/authentication.md,36,my********,docs/es/pages/advanced/authentication.md:http-basic-auth-url:817e1d90e3138051,FP,literal placeholder
axios,b8d67bbbd6b3,secretloop,http-basic-auth-url,critical,docs/fr/pages/advanced/authentication.md,36,my********,docs/fr/pages/advanced/authentication.md:http-basic-auth-url:817e1d90e3138051,FP,literal placeholder
axios,b8d67bbbd6b3,secretloop,http-basic-auth-url,critical,docs/pages/advanced/authentication.md,36,my********,docs/pages/advanced/authentication.md:http-basic-auth-url:817e1d90e3138051,FP,literal placeholder
axios,b8d67bbbd6b3,secretloop,http-basic-auth-url,critical,docs/zh/pages/advanced/authentication.md,36,my********,docs/zh/pages/advanced/authentication.md:http-basic-auth-url:7c94eec03faefe7c,FP,literal placeholder
axios,b8d67bbbd6b3,secretloop,private-key-block,critical,tests/unit/adapters/key.pem,1,----********************----,tests/unit/adapters/key.pem:private-key-block:1e97767ee2ff747b,TP,private key material (test fixture)
axios,b8d67bbbd6b3,secretloop,generic-api-key-assignment,high,tests/unit/prototypePollution.test.js,1604,prod************123!,tests/unit/prototypePollution.test.js:generic-api-key-assignment:68c50c48a9300324,FP,literal placeholder
deno,83bb8d578050,gitleaks,generic-api-key,,cli/tsc/dts/node/https.d.cts,483,REDACTED,cli/tsc/dts/node/https.d.cts:generic-api-key:483,FP,documentation example
deno,83bb8d578050,gitleaks,generic-api-key,,cli/tsc/dts/node/https.d.cts,486,REDACTED,cli/tsc/dts/node/https.d.cts:generic-api-key:486,FP,documentation example
deno,83bb8d578050,gitleaks,generic-api-key,,cli/tsc/dts/node/https.d.cts,489,REDACTED,cli/tsc/dts/node/https.d.cts:generic-api-key:489,FP,documentation example
deno,83bb8d578050,gitleaks,generic-api-key,,ext/crypto/subtle_import_key.rs,1570,REDACTED,ext/crypto/subtle_import_key.rs:generic-api-key:1570,FP,algorithm name
deno,83bb8d578050,gitleaks,generic-api-key,,ext/crypto/subtle_import_key.rs,1583,REDACTED,ext/crypto/subtle_import_key.rs:generic-api-key:1583,FP,algorithm name
deno,83bb8d578050,gitleaks,private-key,,ext/tls/lib.rs,401,REDACTED,ext/tls/lib.rs:private-key:401,FP,"pem marker string, no key material"
deno,83bb8d578050,gitleaks,generic-api-key,,libs/dcore/src/inspector_server.rs,661,REDACTED,libs/dcore/src/inspector_server.rs:generic-api-key:661,FP,literal placeholder
deno,83bb8d578050,gitleaks,generic-api-key,,libs/inspector_server/lib.rs,1166,REDACTED,libs/inspector_server/lib.rs:generic-api-key:1166,FP,literal placeholder
deno,83bb8d578050,gitleaks,generic-api-key,,tests/specs/audit/package_json_only/__test__.jsonc,23,REDACTED,tests/specs/audit/package_json_only/__test__.jsonc:generic-api-key:23,FP,literal placeholder
deno,83bb8d578050,gitleaks,private-key,,tests/specs/node/tls_happy_eyeballs/localhost.key,1,REDACTED,tests/specs/node/tls_happy_eyeballs/localhost.key:private-key:1,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,generic-api-key,,tests/specs/node/upgrade_websocket_node_http/head_buffer.ts,46,REDACTED,tests/specs/node/upgrade_websocket_node_http/head_buffer.ts:generic-api-key:46,FP,literal placeholder
deno,83bb8d578050,gitleaks,generic-api-key,,tests/specs/npm/npmrc_basic_auth/.npmrc,2,REDACTED,tests/specs/npm/npmrc_basic_auth/.npmrc:generic-api-key:2,FP,documentation example
deno,83bb8d578050,gitleaks,generic-api-key,,tests/specs/npm/npmrc_basic_auth/.npmrc,4,REDACTED,tests/specs/npm/npmrc_basic_auth/.npmrc:generic-api-key:4,FP,documentation example
deno,83bb8d578050,gitleaks,private-key,,tests/specs/npm/npmrc_certfile/client.key,1,REDACTED,tests/specs/npm/npmrc_certfile/client.key:private-key:1,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,private-key,,tests/specs/run/tls_connecttls/localhost.key,1,REDACTED,tests/specs/run/tls_connecttls/localhost.key:private-key:1,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,private-key,,tests/specs/run/tls_starttls/localhost.key,1,REDACTED,tests/specs/run/tls_starttls/localhost.key:private-key:1,TP,private key material (test fixture)
deno,83bb8d578050,gitleaks,private-key,,tests/testdata/tls/RootCA.key,1,REDACTED,tests/testdata/tls/RootCA.key:private-key:1,TP,private key material (test fixture)
